Cost Element,count
9430410,912693
9430420,236093
7220060,71696
9423010,25865
9422010,25335
7220050,22673
7230050,21835
9421010,19513
7220100,19037
7230100,14239
7230200,14237
7240100,12149
7220900,12058
7230250,11319
7100250,9351
7299900,7063
7299030,6173
7130050,5806
7230150,5368
7230055,5262
7299050,4738
7230950,4466
7000290,4017
7130100,3680
7120200,3435
7110050,3278
7291400,3173
7100150,2831
7299300,2691
9420010,2622
7220300,2305
7100050,2300
7110150,2211
7220250,2115
7230300,2105
7299040,1966
7110900,1929
7110300,1882
7300120,1810
7299250,1794
7100950,1759
7291100,1754
7120900,1648
7120800,1582
7230400,1442
7220800,1273
7120700,1134
7120050,1105
7240150,948
7292100,872
7100900,849
7291300,829
7220070,751
7220150,750
7300130,711
7140100,673
7290150,630
7299690,625
7210200,606
7230960,598
7140050,597
7300150,580
7299080,556
7260050,502
7300110,486
7299530,448
7292110,407
7299850,405
9422097,405
7270500,401
7292540,401
7000295,392
7100200,389
7292550,363
7210430,289
7299010,229
7100960,228
7299260,212
7291200,204
7230350,178
7299860,164
7520100,158
7240960,155
7292490,151
7120960,142
7110220,131
7110240,114
7292140,112
7220960,110
7290100,107
7250050,101
7270450,101
7270510,99
7000500,96
7120350,93
7299270,92
7270900,88
7110230,81
7291900,80
7299271,75
7290900,73
7292160,70
7290050,65
7291350,60
7270350,57
7280100,52
7240050,51
7210410,50
7110250,48
7292990,47
7280900,44
7270150,41
7290200,41
7210420,40
7210600,37
7299100,33
7292530,32
7292520,30
7110210,30
7270200,28
7300050,28
7110200,28
7210114,24
7299020,24
7120450,23
7520050,21
7220350,19
7299950,18
7299210,16
8066060,14
7270960,14
7290400,13
7210110,12
7054120,10
7210500,10
7270100,8
7000090,8
7260100,8
7110100,7
7292500,6
7299700,6
7000160,5
8031050,4
7210100,2
7210490,2
7270300,2
7299800,2
7270800,1
7290250,1
7250100,1
7054100,1
7292120,1
7000400,1
7299060,1
7290300,1
7000060,1
